Unnamed,XMEAS1,XMEAS2,XMEAS3,XMEAS4,XMEAS5,XMEAS6,XMEAS7,XMEAS8,XMEAS9,XMEAS10,XMEAS11,XMEAS12,XMEAS13,XMEAS14,XMEAS15,XMEAS16,XMEAS17,XMEAS18,XMEAS19,XMEAS20,XMEAS21,XMEAS22,XMEAS23,XMEAS24,XMEAS25,XMEAS26,XMEAS27,XMEAS28,XMEAS29,XMEAS30,XMEAS31,XMEAS32,XMEAS33,XMEAS34,XMEAS35,XMEAS36,XMEAS37,XMEAS38,XMEAS39,XMEAS40,XMEAS41,XMV1,XMV2,XMV3,XMV4,XMV5,XMV6,XMV7,XMV8,XMV9,XMV10,XMV11,XMV12
1,0.271032874,3649.739415,4451.320791,9.22314238,32.39289976,47.55975363,2798.975799,64.99582452,122.8987964,0.197826456,91.99326726,49.97086028,2703.521071,25.25755863,49.68186732,3330.810326,22.88620734,66.62830284,0,272.7821772,102.4800282,92.26253071,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334,62.8069839,53.28670886,26.66217256,60.48285399,0,24.22930091,37.20819813,46.4305264,0,35.86532151,12.93064205,100
2,0.270825813,3653.341885,4488.64014,9.211980351,32.50195264,47.37485489,2800.296214,65.09125089,122.877519,0.196091666,91.99681577,49.5483745,2705.228515,25.29139481,49.37719666,3332.707521,22.82912007,66.61521586,-0.311244295,273.0519781,102.4944297,92.49269681,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334,62.81932359,53.22032442,26.68954353,60.52464375,0,24.17176251,37.2274313,46.42719219,0,35.71917739,11.71442283,100
3,0.270473695,3688.113265,4432.832766,9.235689935,32.40283774,47.81708828,2802.647777,64.81236318,122.9161651,0.204023066,91.99508546,48.70469579,2706.580147,25.38417319,48.78226358,3334.616162,22.70296448,66.60561313,-0.017903683,272.8409533,102.5087857,92.36855031,32.01000564,14.98683741,18.81333246,5.947932031,17.20475513,4.032429124,32.88292756,21.70397222,13.41222528,0.870422174,15.96652237,5.396965488,6.612779531,3.221068635,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334,62.83683513,53.21179745,26.70550668,60.54619285,0,25.17902163,37.24376613,46.44254404,0,35.74071495,10.73467566,100
4,0.272127246,3651.680041,4459.26894,9.192008981,31.87679001,47.86924855,2803.693084,64.20541708,122.8924934,0.220561168,92.05677586,51.35522064,2707.918915,25.20961963,49.66092452,3336.068215,23.0293167,66.62635046,-1.068935006,272.6587069,102.5128984,92.31070497,32.1037871,15.07101908,18.52693247,5.921666806,16.76862118,4.052014451,32.7760636,21.59731482,13.23182227,0.911268954,16.47046382,5.397450517,6.68148154,3.228205745,0.014208177,0.588006423,0.178238359,53.67919866,44.49420091,62.84819014,53.18688472,26.76865328,60.56858821,0,26.92272925,37.2116983,46.40749725,0,35.73615379,10.31178292,100
5,0.27093927,3636.329271,4460.409756,9.277991541,32.42475444,47.50932233,2804.787223,64.59862288,122.8905138,0.236146362,91.95412144,49.57239903,2708.721832,25.12533765,50.00549654,3337.400129,22.90919472,66.59440876,-0.241205042,272.5419084,102.5223663,92.21583887,31.54481451,14.98408231,18.77287037,5.912069649,16.82300317,4.088045052,32.49573615,21.89434545,13.59208355,0.936567992,15.76125928,5.371521572,6.675045996,3.290921881,0.014208177,0.588006423,0.178238359,53.67919866,44.49420091,62.84834068,53.19227099,26.39677321,60.63759763,0,29.03960469,37.19951735,46.4240341,0,35.89071568,11.18138048,100
6,0.273198942,3645.401613,4460.435093,9.203610439,32.24937468,47.61987085,2805.797684,66.01759734,122.9066361,0.251529262,92.07929443,50.02546784,2710.112831,25.36020737,47.68265996,3338.783041,22.78050872,66.57293681,-1.318035666,272.8738472,102.5287986,92.51758533,32.25859876,15.04359534,18.74900669,5.842900865,16.97941016,4.057653771,32.53748282,21.73139261,13.63927408,1.219110453,16.1026244,5.382171609,6.697402428,3.295662074,0.005375306,0.578432249,0.189898752,52.61281245,43.09783013,62.84919257,53.19107591,26.88410112,60.6394739,0,31.2386033,37.19778272,46.41536472,0,35.95875549,14.1438941,100
7,0.269753246,3659.930443,4471.924454,9.305495617,32.3328042,47.00740078,2805.598617,65.26400349,122.8924502,0.277478507,91.99335954,50.48509872,2709.675069,25.14977699,50.5734483,3338.15134,22.92623246,66.58767746,1.578116741,272.6513186,102.5385852,92.27228386,31.63972878,15.12426172,18.87294698,5.898601846,16.59320681,4.088474181,32.25864603,21.8479302,12.96518731,0.923616268,15.96027159,5.35199993,6.587696193,3.271650813,0.005375306,0.578432249,0.189898752,52.61281245,43.09783013,62.93696067,53.03894385,26.64128861,60.60173374,0,33.96975527,37.18984137,46.41086274,0,35.79293543,13.64819531,100
8,0.274123295,3646.159426,4426.158894,9.276590763,32.58029509,47.50841255,2806.711723,65.92950957,122.8859744,0.295394704,92.14406888,48.90750972,2710.668469,25.25863016,48.26982379,3339.180761,22.77756768,66.59220976,-0.131203478,272.5470679,102.5270491,92.45476328,31.80686729,15.3379379,18.44153984,5.89532164,16.67751538,4.030919859,32.71768597,22.04745615,13.09206763,0.881754136,16.15731034,5.394593638,6.638932332,3.297005507,0.005375306,0.578432249,0.189898752,52.61281245,43.09783013,63.02010021,52.95826725,27.10793712,60.63550275,0,36.25452897,37.17550159,46.40372245,0,35.92259111,11.77031123,100
9,0.271340579,3601.984034,4440.575467,9.20752441,32.2991715,47.54135223,2804.865752,65.85187164,122.9047686,0.311164263,92.0531952,49.89596446,2708.687172,25.11936019,48.91041726,3337.447489,23.0999274,66.59822058,-1.342736802,272.2385084,102.5536186,92.54873613,31.66346941,15.21864213,18.91626457,5.927233083,16.30557555,4.043042498,32.28568912,22.14053876,13.2266956,0.848362476,16.49409943,5.374506983,6.695491448,3.259152029,0.005316491,0.585805354,0.184359226,53.17299026,43.6732484,63.03191188,52.95474911,26.74344498,60.71399149,0,38.29626526,37.19154426,46.40302992,0,35.72819999,10.18572947,100
10,0.277464826,3647.617543,4411.863982,9.231159369,32.21722563,47.41318046,2804.199605,64.88605894,122.9107582,0.323351305,92.19338407,49.09539499,2709.54852,25.31633231,47.88223566,3337.665238,22.93367071,66.64830172,-2.44355127,272.1472215,102.5691359,92.64448105,32.1413959,15.35617571,18.65196695,6.103510153,16.74824016,4.015961142,32.58804049,22.41782178,13.11587138,0.87684534,16.469324,5.379563445,6.665308624,3.269145952,0.005316491,0.585805354,0.184359226,53.17299026,43.6732484,63.03969279,52.97752655,27.22555025,60.55952045,0,39.96766702,37.14128961,46.38045839,0,35.75557587,12.39375223,100
