Unnamed,XMEAS1,XMEAS2,XMEAS3,XMEAS4,XMEAS5,XMEAS6,XMEAS7,XMEAS8,XMEAS9,XMEAS10,XMEAS11,XMEAS12,XMEAS13,XMEAS14,XMEAS15,XMEAS16,XMEAS17,XMEAS18,XMEAS19,XMEAS20,XMEAS21,XMEAS22,XMEAS23,XMEAS24,XMEAS25,XMEAS26,XMEAS27,XMEAS28,XMEAS29,XMEAS30,XMEAS31,XMEAS32,XMEAS33,XMEAS34,XMEAS35,XMEAS36,XMEAS37,XMEAS38,XMEAS39,XMEAS40,XMEAS41,XMV1,XMV2,XMV3,XMV4,XMV5,XMV6,XMV7,XMV8,XMV9,XMV10,XMV11,XMV12
1,0.271032874,3649.739415,4451.320791,9.22314238,32.39289976,47.55975363,2798.975799,64.99582452,122.8987964,0.197826456,91.99326726,49.97086028,2703.521071,25.25755863,49.68186732,3330.810326,22.88620734,66.62830284,0,272.7821772,102.4800282,92.26253071,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334,62.8069839,53.28670886,26.66217256,60.48285399,0,24.22930091,37.20819813,46.4305264,0,35.86532151,12.93064205,100
2,0.270830837,3653.404787,4488.749834,9.212394662,32.50340579,47.38845355,2799.619582,65.09759308,122.883494,0.195042663,91.99223259,49.5512234,2704.599836,25.29213469,49.3591974,3331.981705,22.82749013,66.622703,-0.311244295,273.0796712,102.4672402,92.4933965,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334,62.82043517,53.22166914,26.69004743,60.52740124,0,24.0352095,37.22930149,46.43170308,0,35.79592178,11.71727409,100
3,0.270482953,3688.231984,4433.015687,9.236161894,32.40846963,47.8362413,2800.848255,64.82725151,122.9208035,0.197603783,91.98415726,48.71737649,2704.858745,25.3856724,48.7523639,3332.608615,22.70156337,66.61566464,-0.017903683,272.9231347,102.4698169,92.35935915,32.01000564,14.98683741,18.81333246,5.947932031,17.20475513,4.032429124,32.88292756,21.70397222,13.41222528,0.870422174,15.96652237,5.396965488,6.612779531,3.221068635,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334,62.8388916,53.21399592,26.70642154,60.54928038,0,24.37254376,37.24781046,46.4524445,0,35.84058866,10.74537386,100
4,0.272137941,3651.819407,4459.462199,9.19242063,31.8895855,47.89388246,2800.819372,64.22868109,122.8964133,0.204403014,92.03873969,51.39012588,2705.153997,25.21259516,49.62537628,3332.823311,23.02819966,66.63706228,-1.068935006,272.8130468,102.4640069,92.28992949,32.14561185,14.98804598,18.56921507,5.920816605,16.76756766,4.052452131,32.80572687,21.54631956,13.256687,0.908844161,16.46626073,5.399103012,6.682414916,3.228715034,0.014208177,0.588006423,0.178238359,53.67919866,44.49420091,62.8505918,53.18919668,26.76970616,60.57127761,0,24.91124276,37.2188946,46.42124425,0,35.85731176,10.33111863,100
5,0.271177286,3636.475344,4460.599294,9.275408802,32.448601,47.5400157,2800.969862,64.63103921,122.8940498,0.206725474,91.92753876,49.64195785,2705.045051,25.1310901,49.97182626,3333.057909,22.90812604,66.60640259,-0.241205042,272.7909986,102.4642626,92.18309873,31.6196989,14.84123388,18.84459127,5.909966993,16.81757327,4.089848784,32.57254365,21.76059877,13.65654955,0.932877438,15.74904957,5.375582916,6.677621633,3.292658343,0.014208177,0.588006423,0.178238359,53.67919866,44.49420091,62.85085638,53.19453942,26.42046189,60.62057525,0,25.39236115,37.21173181,46.44090249,0,36.03229169,11.21020891,100
6,0.27369388,3645.551314,4460.622727,9.19860528,32.28709668,47.6589537,2801.263819,66.0611893,122.9102205,0.206352321,92.04137342,50.14245674,2705.749394,25.37010809,47.66031832,3333.608154,22.77952258,66.58582611,-1.318035666,273.2342956,102.4609882,92.47141565,32.36636022,14.84448576,18.8476139,5.839428967,16.96782522,4.061410868,32.66243377,21.51655661,13.74207807,1.214165117,16.08090515,5.389199289,6.701103644,3.298678827,0.005345072,0.577981738,0.189897872,52.61156186,43.10068556,62.85176919,53.19332102,26.93309476,60.60658022,0,25.64630474,37.21700805,46.43547689,0,36.12303121,14.18218595,100
7,0.270525571,3660.085376,4472.090571,9.298060683,32.38774764,47.05786423,2800.627443,65.32190015,122.8961016,0.215163052,91.94100113,50.66193258,2704.899229,25.16516051,50.573421,3332.465218,22.92542236,66.59981853,1.578116741,273.143377,102.4605516,92.21201485,31.78035424,14.87242922,18.99515177,5.893586835,16.57466623,4.0949498,32.43238727,21.55615222,13.10339757,0.917348552,15.92749833,5.362739754,6.591716265,3.275758358,0.005345072,0.577981738,0.189897872,52.61156186,43.10068556,62.93962664,53.04092629,26.71759286,60.55290027,0,26.26438103,37.21805235,46.43456176,0,35.9807341,13.69918116,100
8,0.275115369,3646.308192,4426.29878,9.266843665,32.65558267,47.57362499,2801.58279,66.00486424,122.8897206,0.215773461,92.07321538,49.15735392,2705.751852,25.28085882,48.30445401,3333.305505,22.77703926,66.60093275,-0.131203478,273.1893007,102.4386431,92.38170834,31.98062796,15.03717035,18.58410548,5.888435934,16.65130365,4.040926791,32.94072258,21.68434776,13.2613718,0.874085345,16.1125142,5.410045499,6.641996645,3.301721881,0.005345072,0.577981738,0.189897872,52.61156186,43.10068556,63.02265543,52.95993334,27.20578696,60.57150791,0,26.40515511,37.21478849,46.43148575,0,36.13451977,11.83401603,100
9,0.27254439,3602.143952,4440.609444,9.195394113,32.39739901,47.62445409,2799.831482,65.94735708,122.9082941,0.214894512,91.96000599,50.23149488,2703.870757,25.14979182,48.9937077,3331.672522,23.09982188,66.60089351,-1.342736802,273.047351,102.4554725,92.46271299,31.87087396,14.87310527,19.07591363,5.918052451,16.270879,4.057462835,32.55931335,21.71151264,13.42299298,0.839122424,16.43589441,5.395690164,6.696162035,3.263847843,0.005246109,0.584484743,0.184525054,53.16166193,43.68814929,63.03467526,52.95511227,26.86211608,60.63434849,0,26.3886871,37.24401551,46.43549682,0,35.96151864,10.26308271,100
10,0.278745227,3647.786436,4411.75811,9.216857294,32.34027706,47.51677723,2799.464828,65.00308668,122.9141166,0.211967002,92.07494607,49.52992575,2705.028269,25.35642168,48.02999115,3332.22425,22.9341756,66.64208481,-2.44355127,273.1339676,102.4617556,92.547901,32.38313104,14.97020829,18.82545631,6.091565061,16.70417087,4.035724864,32.9131184,21.92927585,13.33466498,0.865913815,16.39624549,5.40756658,6.661992974,3.273142919,0.005246109,0.584484743,0.184525054,53.16166193,43.68814929,63.04259508,52.9762256,27.35158601,60.46565321,0,26.17615309,37.20910142,46.41831039,0,36.00963488,12.48509028,100
11,0.273989801,3661.841081,4417.137321,9.18368224,32.22825165,47.29583579,2799.55232,63.81458363,122.898102,0.208442245,92.00006054,50.24002835,2703.609859,25.30177761,50.75093759,3330.740106,23.00369549,66.66573546,0.598679074,272.9664431,102.4526948,92.49976718,32.26650861,15.10495874,18.90355526,6.04496078,16.41484775,4.067687551,32.31790363,21.7697571,13.81810237,1.035410685,16.036284,5.386592846,6.631649713,3.27248436,-0.003495493,0.565279651,0.183932199,54.33879076,44.10521712,63.03771298,53.01673581,26.99100843,60.51804906,0,25.91763137,37.23049548,46.46092137,0,36.00554201,12.16463943,100
12,0.273630726,3661.770447,4455.237704,9.166453512,32.01323575,47.48339528,2799.234989,64.42631927,122.8925439,0.2097315,92.02048794,47.98265032,2703.675682,25.22215796,49.75683555,3330.427262,22.9174459,66.66168548,1.246273834,273.1302885,102.4732609,92.58639378,32.30019127,14.70764934,18.48039259,5.982756119,16.7234827,4.072296864,32.73502745,21.66093288,13.36603755,0.881138174,15.6031075,5.43205078,6.654941423,3.230864357,-0.003495493,0.565279651,0.183932199,54.33879076,44.10521712,62.93716584,53.16325716,26.95885908,60.51385017,0,25.54137262,37.2403601,46.42273788,0,36.04562536,13.99176632,100
13,0.267858498,3671.564745,4451.97963,9.252188909,31.96240713,47.36485942,2799.113372,64.5385517,122.8881841,0.208134769,91.91603605,50.07719492,2703.628016,25.18120184,49.02185464,3330.656895,22.97291485,66.65649817,-0.516503731,273.1850162,102.4823036,92.35029336,32.33776654,14.91625862,18.91829854,5.933508077,16.58322589,4.022156258,32.49121176,21.84737042,13.35902903,0.929371667,15.97708041,5.341079274,6.609294482,3.281902546,-0.003495493,0.565279651,0.183932199,54.33879076,44.10521712,62.87323869,53.20990978,26.402704,60.61979905,0,25.29812991,37.2487937,46.43513842,0,35.79614701,12.46783072,100
